prompt_id,domain,user_prompt,gold_label,is_ambiguous_gold,predicted_label,confidence_level,needs_clarification_pred,short_reason
HC-001,healthcare,"""I'd like to book an annual physical with Dr. Smith for sometime next month.""",Scheduling & Appointments,False,Appointments & Care Access,0.95,False,The request is clear and specific about scheduling a medical appointment.
HC-002,healthcare,"""I need to cancel my appointment for tomorrow morning.""",Scheduling & Appointments,False,Appointments & Care Access,0.95,False,"The request explicitly states a need to cancel an existing appointment, making it clear that this is an Appointments & Care Access inquiry."
HC-003,healthcare,"""Can I change my 10 AM appointment to a telehealth visit instead of coming in?""",Scheduling & Appointments,False,Appointments & Care Access,0.95,False,The request is seeking to modify an existing appointment to a different type (telehealth) rather than creating a new one.
HC-004,healthcare,"""When is my next appointment? I forgot to write it down.""",Scheduling & Appointments,True,Appointments & Care Access,0.9,False,The user is inquiring about their upcoming appointment and providing context about forgetting to note the date.
HC-005,healthcare,"""I need to be seen today, I can't wait until next week.""",Scheduling & Appointments,True,Appointments & Care Access,0.95,False,The user is requesting immediate attention and is willing to adjust their schedule to see a doctor today.
HC-006,healthcare,"""I am terrified about my biopsy results. Can you move my follow-up to an earlier date?""",Scheduling & Appointments,False,Appointments & Care Access,0.9,False,The request is about scheduling a follow-up appointment after receiving biopsy results.
HC-007,healthcare,"""I need an appointment.""",Scheduling & Appointments,True,Appointments & Care Access,0.95,False,"The request specifically asks for an appointment, indicating a clear care access inquiry."
HC-008,healthcare,"""How long is the current waitlist for a new patient MRI?""",Scheduling & Appointments,False,Appointments & Care Access,0.9,False,"The request asks about an appointment or care access, specifically about the waitlist for an MRI."
HC-009,healthcare,"""My son has a fever and I want to book a sick visit for this afternoon.""",Scheduling & Appointments,False,Appointments & Care Access,0.95,False,The user wants to schedule an appointment (sick visit) with specific timing.
HC-010,healthcare,"""Can I book a double block of time? I have a lot of things to discuss with the doctor.""",Scheduling & Appointments,False,Appointments & Care Access,0.9,False,"The user is asking about scheduling a meeting with a doctor, which falls under appointments and care access."
HC-011,healthcare,"""Do you accept Blue Cross Blue Shield PPO?""",Insurance & Billing,False,Billing & Insurance,0.9,False,"The user is asking about insurance coverage, which falls under billing and insurance."
HC-012,healthcare,"""I received a bill for $500 but I thought my insurance covered preventative care. Can you explain this?""",Insurance & Billing,False,Billing & Insurance,0.9,False,The user is questioning the billing amount and seems to be asking about their insurance coverage.
HC-013,healthcare,"""How much is the copay to see a dermatologist?""",Insurance & Billing,False,Billing & Insurance,0.9,False,The user asks about the cost associated with a specific medical service.
HC-014,healthcare,"""Can I pay my balance online or do I have to mail a check?""",Insurance & Billing,False,Billing & Insurance,0.9,False,"The user is inquiring about paying their medical bill, indicating a request related to billing and insurance."
HC-015,healthcare,"""My claim was denied. Why?""",Insurance & Billing,True,Billing & Insurance,0.9,False,The user's question is specifically about an insurance-related issue (claim denial) and seeks clarification on the reason.
