prompt_id,domain,user_prompt,gold_label,annotator_notes,pred_baseline_embedding,pred_llm-v3_full_gate_plus_slots,pred_llm-v3_no_gate_slots_only,pred_llm-v3_no_slots_gate_only,pred_llm-v3_no_gate_no_slots
EDU-113,Education,Is it against the rules to use small code snippets from StackOverflow for this assignment as long as we cite them?,Assignment & Grading Policy,Asking about what is explicitly allowed/prohibited for an assignment.,assignment & grading policy,assignment & grading policy,assignment & grading policy,assignment & grading policy,assignment & grading policy
EDU-116,Education,What is the grading penalty if my assignment passes locally but fails on the autograder due to a timeout?,Assignment & Grading Policy,Question on the autograder grading policy for an assignment.,assignment & grading policy,assignment & grading policy,assignment & grading policy,assignment & grading policy,assignment & grading policy
EDU-084,Education,"my student id is 926345. Are we allowed to work in pairs for Homework 3, or is it strictly individual?",Assignment & Grading Policy,Collaboration policy question for a specific assignment.,course logistics & environment setup,assignment & grading policy,assignment & grading policy,assignment & grading policy,assignment & grading policy
EDU-093,Education,my student id is 969290. How many points is each part of the rubric worth for the midterm project?,Assignment & Grading Policy,Grade breakdown question — asking about policy before submitting.,exam & assessment prep,assignment & grading policy,assignment & grading policy,assignment & grading policy,assignment & grading policy
EDU-110,Education,Are we permitted to collaborate with other students on the weekly coding assignments?,Assignment & Grading Policy,Clarification on academic integrity and allowed collaboration for assignments.,course logistics & environment setup,assignment & grading policy,assignment & grading policy,assignment & grading policy,assignment & grading policy
EDU-106,Education,Is there a specific file naming convention we need to follow when zipping our assignment submission?,Assignment & Grading Policy,Asks for formatting/submission requirements for an assignment.,assignment & grading policy,assignment & grading policy,assignment & grading policy,assignment & grading policy,assignment & grading policy
EDU-086,Education,my student id is 197199. How much of the project grade is based on the written report versus the actual code?,Assignment & Grading Policy,Grade breakdown question for a specific deliverable.,debugging & code troubleshooting,assignment & grading policy,assignment & grading policy,assignment & grading policy,assignment & grading policy
EDU-107,Education,How many points are deducted if our assignment code fails the hidden test cases on Gradescope?,Assignment & Grading Policy,Question regarding the grading rubric and point allocations for an assignment.,assignment & grading policy,debugging & code troubleshooting,debugging & code troubleshooting,debugging & code troubleshooting,debugging & code troubleshooting
UT-028,Utility,"""My script isn't working.""",Clarification Needed,"Ambiguous: Doesn't specify the language, the error, or provide code. ",debugging & code troubleshooting,clarification needed,debugging & code troubleshooting,clarification needed,debugging & code troubleshooting
UT-041,Utility,"""I'm getting an error.""",Clarification Needed,"Ambiguous: Missing the actual error message, the code that produced it, or the platform where it occurred.",debugging & code troubleshooting,clarification needed,debugging & code troubleshooting,clarification needed,debugging & code troubleshooting
UT-027,Utility,"""The output is wrong.""",Clarification Needed,"Ambiguous: Needs ""Expected"" vs ""Actual"" output and the source code. ",debugging & code troubleshooting,clarification needed,debugging & code troubleshooting,clarification needed,debugging & code troubleshooting
UT-044,Utility,"""Do you take my insurance?""",Clarification Needed,Ambiguous: The user has not stated the name of their insurance provider or their specific plan.,insurance & billing,insurance & billing,insurance & billing,insurance & billing,insurance & billing
UT-025,Utility,"""My claim was denied. Why?""",Clarification Needed,"Missing account/claim details, requires clarification. ",insurance & billing,assignment & grading policy,assignment & grading policy,assignment & grading policy,assignment & grading policy
UT-038,Utility,"""The system is down.""",Clarification Needed,"Too broad: Needs clarification on which system (e.g., student portal, patient portal, autograder, telehealth link).",urgent escalation,clarification needed,debugging & code troubleshooting,clarification needed,course logistics & environment setup
UT-013,Utility,"""Are we allowed to use the internet?""",Clarification Needed,Ambiguous scope. Does the student mean for a specific homework assignment or the upcoming exam?,human staff review needed,assignment & grading policy,assignment & grading policy,assignment & grading policy,assignment & grading policy
UT-020,Utility,"""Did my authorization go through yet?""",Clarification Needed,Missing context on what the authorization is for.,human staff review needed,scheduling & appointments,scheduling & appointments,course logistics & environment setup,course logistics & environment setup
EDU-020,Education,I've heard the terms 'concurrency' and 'parallelism' used interchangeably in lecture but someone told me they're different. Are they?,Concept Explanation,"Concept distinction question — no broken code, genuine learning intent.",scheduling & appointments,concept explanation,concept explanation,concept explanation,concept explanation
EDU-017,Education,"""okay so I get that stacks are LIFO but like... why would anyone actually use that? what's a real example where that matters?""",Concept Explanation,"Casual tone, genuine concept curiosity — real-world application of a data structure.",concept explanation,concept explanation,concept explanation,concept explanation,concept explanation
EDU-016,Education,"""What is the CAP theorem and does it actually matter for the kind of databases we use in this class?""",Concept Explanation,"Distributed systems concept question, no code involved.",concept explanation,concept explanation,concept explanation,concept explanation,concept explanation
EDU-027,Education,"""What is the actual difference between concurrency and parallelism? They seem like the exact same thing.""",Concept Explanation,Syntax/theory clarification request for two easily confused CS concepts.,concept explanation,concept explanation,concept explanation,concept explanation,concept explanation
EDU-005,Education,"""I don't understand trees at all.""",Concept Explanation,Vague but recoverable — student clearly wants a concept explained. Missing specificity on tree type but domain and intent are clear.,concept explanation,concept explanation,concept explanation,concept explanation,concept explanation
EDU-013,Education,"""What exactly is a pointer in C and why do people say it's dangerous?""",Concept Explanation,Language concept question with no code artifact.,concept explanation,concept explanation,concept explanation,concept explanation,concept explanation
EDU-038,Education,"""I'm confused about Git. What is the difference between a merge and a rebase?""",Concept Explanation,"Tooling theory question; focuses on understanding how the commands differ conceptually, not fixing a broken repo.",course logistics & environment setup,concept explanation,concept explanation,concept explanation,concept explanation
EDU-028,Education,"""I don't understand recursion at all. Can you give me a simple explanation of how a function calls itself without breaking?""",Concept Explanation,Student expressing confusion over a core concept; clearly seeking explanation rather than debugging.,concept explanation,concept explanation,concept explanation,concept explanation,concept explanation
EDU-185,Education,"""I'm having trouble linking my local Git repository to GitHub Classroom. It keeps asking for a personal access token instead of my password.""",Course Logistics & Environment Setup,,debugging & code troubleshooting,course logistics & environment setup,course logistics & environment setup,course logistics & environment setup,course logistics & environment setup
EDU-173,Education,Are lectures recorded and if so where can I find them after class?,Course Logistics & Environment Setup,Course resource access question.,facility & general information,course logistics & environment setup,course logistics & environment setup,course logistics & environment setup,course logistics & environment setup
EDU-181,Education,Which version of Java are we required to use for this course?,Course Logistics & Environment Setup,,course logistics & environment setup,education domain - concept explanation,education domain - concept explanation,course logistics & environment setup,course logistics & environment setup
EDU-175,Education,The Docker image for Assignment 4 is over 5GB. is there a lighter version for students with limited disk space?,Course Logistics & Environment Setup,Technical setup constraint question about course-provided tooling.,course logistics & environment setup,course logistics & environment setup,course logistics & environment setup,course logistics & environment setup,course logistics & environment setup
EDU-166,Education,Are there office hours over spring break?,Course Logistics & Environment Setup,Schedule exception question.,facility & general information,course logistics & environment setup,course logistics & environment setup,course logistics & environment setup,course logistics & environment setup
EDU-167,Education,"""Which version of Node.js do we need to install for the frontend module?""",Course Logistics & Environment Setup,Software versioning requirement.,course logistics & environment setup,concept explanation,concept explanation,course logistics & environment setup,course logistics & environment setup
EDU-074,Education,"""""""Why does my C code print random garbage characters like @ instead of the string I passed to it?""""""",Debugging & Code Troubleshooting,Memory/pointer bug in student code resulting in unexpected output behavior.,debugging & code troubleshooting,debugging & code troubleshooting,debugging & code troubleshooting,debugging & code troubleshooting,debugging & code troubleshooting
EDU-077,Education,"""""""I tried to write a regex to extract email addresses, but it's only matching the first letter of the domain. My regex: [a-z]+@[a-z]\.com""""""",Debugging & Code Troubleshooting,Broken implementation provided in the prompt; student expects it to match the full domain.,urgent escalation,debugging & code troubleshooting,debugging & code troubleshooting,debugging & code troubleshooting,debugging & code troubleshooting
EDU-045,Education,"Why is my React component rendering twice? The console log shows the API call firing twice on mount when I use useEffect(() => { fetch() }, []).",Debugging & Code Troubleshooting,Specific framework behavior with inline code snippet. Clear case.,insurance & billing,debugging & code troubleshooting,debugging & code troubleshooting,debugging & code troubleshooting,debugging & code troubleshooting
EDU-054,Education,My Git repo says 'detached HEAD state' and I have no idea what that means or how I got here.,Debugging & Code Troubleshooting,Specific tool error with exact error message. Clear case.,course logistics & environment setup,debugging & code troubleshooting,debugging & code troubleshooting,debugging & code troubleshooting,debugging & code troubleshooting
EDU-071,Education,"""""""I keep getting a 'SyntaxError: unexpected token' in my JavaScript file. I checked all my curly braces and parentheses and they seem fine.""""""",Debugging & Code Troubleshooting,Troubleshooting request for a syntax error the student cannot visually locate.,debugging & code troubleshooting,debugging & code troubleshooting,debugging & code troubleshooting,debugging & code troubleshooting,debugging & code troubleshooting
EDU-067,Education,"""""""I am getting a NullPointerException in Java when trying to call my getStudentName() method, but I'm pretty sure I instantiated the object correctly.""""""",Debugging & Code Troubleshooting,Classic student debugging scenario involving a specific language runtime error.,concept explanation,debugging & code troubleshooting,debugging & code troubleshooting,debugging & code troubleshooting,debugging & code troubleshooting
EDU-047,Education,"My binary search keeps returning -1 even when the target is definitely in the list. Here's my code: def search(arr, t): lo, hi = 0, len(arr); while lo < hi: mid = (lo+hi)//2; if arr[mid]==t: return mid; elif arr[mid]<t: lo=mid; else: hi=mid-1; return -1",Debugging & Code Troubleshooting,Off-by-one error in binary search — full inline code snippet provided. Clear case.,debugging & code troubleshooting,debugging & code troubleshooting,debugging & code troubleshooting,debugging & code troubleshooting,debugging & code troubleshooting
EDU-068,Education,"""""""Can someone help? My C++ program compiles fine but segfaults immediately when I run it.""""""",Debugging & Code Troubleshooting,Mentions a specific error (segmentation fault) occurring at runtime on the student's code.,debugging & code troubleshooting,debugging & code troubleshooting,debugging & code troubleshooting,debugging & code troubleshooting,debugging & code troubleshooting
EDU-152,Education,Should we write high-level pseudo-code or syntactically perfect Java for the written questions on the test?,Exam & Assessment Prep,,exam & assessment prep,exam & assessment prep,exam & assessment prep,exam & assessment prep,exam & assessment prep
EDU-155,Education,Are the practice problems at the end of Chapter 4 representative of the difficulty of the actual exam questions?,Exam & Assessment Prep,,exam & assessment prep,exam & assessment prep,exam & assessment prep,exam & assessment prep,exam & assessment prep
EDU-123,Education,for class PHY144. Is the upcoming quiz open-book or closed-book?,Exam & Assessment Prep,Assessment rules inquiry.,exam & assessment prep,exam & assessment prep,exam & assessment prep,exam & assessment prep,exam & assessment prep
EDU-132,Education,for class MATH101. How much time do we get for the final exam?,Exam & Assessment Prep,Exam logistics question — duration.,exam & assessment prep,exam & assessment prep,exam & assessment prep,exam & assessment prep,exam & assessment prep
EDU-149,Education,Will we have access to the Python standard library documentation during the assessment?,Exam & Assessment Prep,,course logistics & environment setup,exam & assessment prep,exam & assessment prep,exam & assessment prep,exam & assessment prep
EDU-145,Education,Will questions about red-black tree insertion be included on the upcoming quiz?,Exam & Assessment Prep,,exam & assessment prep,exam & assessment prep,exam & assessment prep,exam & assessment prep,exam & assessment prep
EDU-125,Education,for class PHY354. How many questions are typically on the final exam?,Exam & Assessment Prep,Exam structure inquiry.,exam & assessment prep,exam & assessment prep,exam & assessment prep,exam & assessment prep,exam & assessment prep
EDU-146,Education,What is the format of the midterm? Is it mostly multiple-choice or free-response coding questions?,Exam & Assessment Prep,,exam & assessment prep,exam & assessment prep,exam & assessment prep,exam & assessment prep,exam & assessment prep
HC-116,Healthcare,"""What are the regular operating hours for the main lobby desk?""",Facility & General Information,Inquiry about general building hours.,facility & general information,facility & general information,facility & general information,facility & general information,facility & general information
HC-119,Healthcare,"""Is there a designated smoking area on the hospital grounds?""",Facility & General Information,Question regarding facility rules and designated zones.,facility & general information,facility & general information,facility & general information,facility & general information,facility & general information
HC-087,Healthcare,"""Are there wheelchairs available at the main entrance?""",Facility & General Information,Accessibility question.,facility & general information,facility & general information,facility & general information,facility & general information,facility & general information
HC-096,Healthcare,I’m running late and unfamiliar with the area—where should I park quickly?,Facility & General Information,Parking/directions with time pressure.,facility & general information,course logistics & environment setup,course logistics & environment setup,course logistics & environment setup,facility & general information
HC-113,Healthcare,"""Is there a gift shop at the children's hospital? I want to buy flowers.""",Facility & General Information,Question about hospital services/shops for visitors.,facility & general information,facility & general information,facility & general information,facility & general information,facility & general information
HC-109,Healthcare,"""Can you give me directions to the outpatient surgery center from the main entrance?""",Facility & General Information,Wayfinding and internal facility directions.,facility & general information,facility & general information,facility & general information,facility & general information,facility & general information
HC-089,Healthcare,"""Can I bring my service dog to my chemotherapy appointment?""",Facility & General Information,Policy question involving ADA/service animal compliance.,facility & general information,facility & general information,facility & general information,human staff review needed,human staff review needed
HC-110,Healthcare,"""Do you have wheelchairs available for use at the front entrance?""",Facility & General Information,Question regarding physical accessibility and available equipment.,facility & general information,facility & general information,facility & general information,facility & general information,facility & general information
HC-195,Healthcare,I am submitting a formal HIPAA inquiry because my privacy was violated when someone leaked my medical records.,Human Staff Review Needed,Rewritten with strong HSR keywords.,human staff review needed,human staff review needed,human staff review needed,human staff review needed,human staff review needed
HC-182,Healthcare,I need to get a full copy of my medical records sent to my lawyer by next week.,Human Staff Review Needed,Medical records request for legal purposes requires human handling.,scheduling & appointments,human staff review needed,human staff review needed,human staff review needed,human staff review needed
HC-183,Healthcare,The nurse who checked me in today was incredibly rude and made an inappropriate comment. I want to file a formal complaint.,Human Staff Review Needed,Staff complaint requiring formal grievance process.,human staff review needed,human staff review needed,human staff review needed,human staff review needed,human staff review needed
HC-194,Healthcare,I need to authorize my son to make medical decisions for me if I become incapacitated. Do you have a form for that?,Human Staff Review Needed,Proxy authorization/advance directive inquiry.,human staff review needed,human staff review needed,human staff review needed,human staff review needed,human staff review needed
HC-192,Healthcare,I am making a legally complex documentation request for a service animal accommodation.,Human Staff Review Needed,Rewritten with strong HSR keywords.,human staff review needed,human staff review needed,human staff review needed,human staff review needed,human staff review needed
