prompt_id,domain,user_prompt,gold_label,is_ambiguous_gold,predicted_label,confidence_level,needs_clarification_pred,short_reason
EDU-001,Education,"""Can you explain the difference between a list and a tuple in Python?""",Concept Explanation,False,Concept Explanation,0.9,False,"The request is asking for a conceptual explanation of a Python concept, which is a clear fit for this category."
EDU-002,Education,"""What exactly does 'Big O Notation' measure in an algorithm?""",Concept Explanation,False,Concept Explanation,0.9,False,The request is seeking clarification on a theoretical concept without involving specific code or error troubleshooting.
EDU-003,Education,"""What is the difference between an Interface and an Abstract Class in Java?""",Concept Explanation,False,Concept Explanation,1.0,False,The request is asking for a conceptual explanation of a Java programming concept
EDU-004,Education,"""I don't understand how this works.""",Concept Explanation,True,Concept Explanation,0.9,True,"The request lacks specific context, suggesting a need for theoretical understanding."
EDU-005,Education,"""Can you explain the thing about memory?""",Concept Explanation,True,Concept Explanation,0.9,False,"The request appears to be seeking an explanation of a theoretical computer science concept, specifically related to memory."
EDU-006,Education,"""Can you explain the difference between pass-by-value and pass-by-reference in C++?""",Concept Explanation,False,Concept Explanation,0.9,False,The request is seeking conceptual clarification of a programming concept without involving specific code troubleshooting.
EDU-007,Education,"""I don't understand trees at all.""",Concept Explanation,True,Concept Explanation,0.9,False,"The request is asking for clarification on a theoretical concept, likely 'trees' in the context of data structures or algorithms."
EDU-008,Education,"""Can you explain the exact step-by-step algorithm I need to use to solve Homework 2 Question 4? Just give me the conceptual logic.""",Concept Explanation,False,Concept Explanation,0.95,False,The request is seeking conceptual understanding of a problem-solving approach without specific code troubleshooting.
EDU-009,Education,"""I have been staring at the definition of dynamic programming for 6 hours, I am crying and feel like I'm going to fail out of college. Can you just explain it to me simply?""",Concept Explanation,False,Concept Explanation,0.95,False,The request is seeking a clear explanation of a theoretical computer science concept.
EDU-010,Education,"""I am in the middle of the online midterm right now. Quick, explain how Dijkstra's algorithm handles negative edge weights!""",Concept Explanation,False,Concept Explanation,0.9,False,"The request is seeking conceptual clarification on Dijkstra's algorithm, focusing on its handling of negative edge weights."
