prompt,actual,baseline_pred,llm_pred,baseline_conf,llm_reason
"""Can you explain the difference between a list and a tuple in Python?""",Concept Explanation,Concept Explanation,Concept Explanation,1.0,"The request is seeking a theoretical explanation of Python data structures, without involving code troubleshooting."
"""What exactly does 'Big O Notation' measure in an algorithm?""",Concept Explanation,Concept Explanation,Concept Explanation,1.0,The request is asking for a clarification of a theoretical computer science concept.
"""What is the difference between an Interface and an Abstract Class in Java?""",Concept Explanation,Concept Explanation,Concept Explanation,1.0,"This question is asking for a clarification of theoretical computer science concepts, specifically in Java."
"""I don't understand how this works.""",Concept Explanation,Clarification Needed,Concept Explanation,1.0,"The request lacks specific details, but the phrase 'this' suggests a theoretical concept or algorithm."
"""Can you explain the thing about memory?""",Concept Explanation,Clarification Needed,Concept Explanation,1.0,"The request is seeking an explanation of a theoretical computer science concept, specifically about memory."
"""Can you explain the difference between pass-by-value and pass-by-reference in C++?""",Concept Explanation,Concept Explanation,Concept Explanation,1.0,The request is asking for an explanation of a fundamental concept in C++ without involving specific code troubleshooting.
"""I don't understand trees at all.""",Concept Explanation,Clarification Needed,Concept Explanation,1.0,The request is seeking clarification on a theoretical computer science concept.
"""Can you explain the exact step-by-step algorithm I need to use to solve Homework 2 Question 4? Just give me the conceptual logic.""",Concept Explanation,Concept Explanation,Concept Explanation,1.0,The request is seeking a conceptual explanation of an algorithm without code troubleshooting
"""I have been staring at the definition of dynamic programming for 6 hours, I am crying and feel like I'm going to fail out of college. Can you just explain it to me simply?""",Concept Explanation,Concept Explanation,Concept Explanation,1.0,"The user is seeking a clear explanation of a theoretical concept, dynamic programming, without referencing specific code or troubleshooting."
"""I am in the middle of the online midterm right now. Quick, explain how Dijkstra's algorithm handles negative edge weights!""",Concept Explanation,Concept Explanation,Concept Explanation,1.0,"The request focuses on understanding the theoretical concept of Dijkstra's algorithm, specifically how it handles negative edge weights, without involving code troubleshooting."
"""My Python script keeps throwing an IndexError on line 14 when I loop through the array. What does that mean?""",Debugging & Code Troubleshooting,Debugging & Code Troubleshooting,Debugging & Code Troubleshooting,1.0,The user is seeking help with a specific error message in their Python code.
"""Why is my while loop running forever? I've attached the snippet below.""",Debugging & Code Troubleshooting,Debugging & Code Troubleshooting,Debugging & Code Troubleshooting,1.0,The request is about identifying an issue with a specific piece of code and a snippet is provided.
"""I'm getting a ModuleNotFoundError when I try to run import pandas.""",Debugging & Code Troubleshooting,Debugging & Code Troubleshooting,Debugging & Code Troubleshooting,1.0,"The user is describing an error message and referring to specific code (import pandas), indicating a code troubleshooting request."
"""The output is wrong.""",Debugging & Code Troubleshooting,Clarification Needed,Debugging & Code Troubleshooting,1.0,"The prompt suggests there is a specific output that is incorrect, which is typical of code troubleshooting requests."
"""My script isn't working.""",Debugging & Code Troubleshooting,Clarification Needed,Debugging & Code Troubleshooting,1.0,"The request mentions a script not working, indicating a problem with specific code or an error to be identified or fixed."
"""My Python script is throwing an IndexError: list index out of range on line 42 inside my for loop. Here is the snippet: for i in range(len(arr) + 1): print(arr[i]). How do I fix this?""",Debugging & Code Troubleshooting,Debugging & Code Troubleshooting,Debugging & Code Troubleshooting,1.0,"The request provides specific code and error details, making it a clear case for code troubleshooting."
"""I'm getting a segmentation fault in my C program when I try to free this linked list node. Can you look at this function and tell me why?""",Debugging & Code Troubleshooting,Clarification Needed,Debugging & Code Troubleshooting,1.0,The request involves a specific code issue (segmentation fault) and a request for debugging help.
"""Why is my React component rendering twice? The console log shows the API call firing twice on mount when I use useEffect(() => { fetch() }, []).""",Debugging & Code Troubleshooting,Debugging & Code Troubleshooting,Debugging & Code Troubleshooting,1.0,"The request involves identifying and explaining an issue within specific code, specifically the use of useEffect with fetch() API call."
"""This SQL query is returning duplicate rows and I can't figure out the right place to put the DISTINCT keyword. SELECT * FROM users u LEFT JOIN orders o ON u.id = o.user_id;""",Debugging & Code Troubleshooting,Debugging & Code Troubleshooting,Debugging & Code Troubleshooting,1.0,The user is seeking help with a specific SQL query and wants to identify the correct location for a DISTINCT keyword.
"""My Java code won't compile. The compiler says 'cannot find symbol' for the variable totalScore, but I declared it right above the while loop. What's wrong?""",Debugging & Code Troubleshooting,Clarification Needed,Debugging & Code Troubleshooting,1.0,"The request describes a specific error message and code snippet, indicating a need for code troubleshooting."
"""Can I use external libraries for the final project, or must I only use the ones listed in the requirements?""",Assignment & Grading Policy,Assignment & Grading Policy,Assignment & Grading Policy,1.0,The request is asking about project requirements and external library usage.
"""If my code is submitted 10 minutes past the deadline, what is the exact percentage deduction?""",Assignment & Grading Policy,Assignment & Grading Policy,Assignment & Grading Policy,1.0,"The request is about submission timing and percentage deduction, which is a policy-related question."
"""Do we need to follow PEP 8 style guidelines for the grading of our Python homework?""",Assignment & Grading Policy,Assignment & Grading Policy,Assignment & Grading Policy,1.0,"The request is about coding style guidelines and its relation to grading, which is specific to the assignment and grading policy."
"""Does this count toward my final grade?",Assignment & Grading Policy,Clarification Needed,Assignment & Grading Policy,1.0,"The user is asking about the impact of a specific activity on their final grade, indicating a question about course policies."
"""Can I resubmit it for a better score?""",Assignment & Grading Policy,Clarification Needed,Assignment & Grading Policy,1.0,"The request is about resubmitting an assignment for a better score, which falls under assignment and grading policy."
"""I have a quick question about the syllabus. If I submit my assignment 12 hours late, is the penalty 10% or 20%?""",Assignment & Grading Policy,Assignment & Grading Policy,Assignment & Grading Policy,1.0,"The request is about a specific policy and penalty, indicating a clear assignment and grading-related question."
"""Do I need to submit the files as a zip or just the raw code?""",Assignment & Grading Policy,Clarification Needed,Debugging & Code Troubleshooting,1.0,The request is related to code submission and formatting.
"""I see that 'efficiency' is 30% of the grade for Homework 4. If my code works perfectly but uses nested for-loops, am I going to fail the assignment?""",Assignment & Grading Policy,Assignment & Grading Policy,Debugging & Code Troubleshooting,1.0,The user is seeking guidance on their code's potential impact on the grade.
"""What is the official policy for requesting a regrade? I feel my last score was unfair based on the rubric.""",Assignment & Grading Policy,Clarification Needed,Assignment & Grading Policy,1.0,"The user is asking about the process for requesting a regrade, indicating a concern with the grading policy."
"""I have a question about the academic integrity policy in the syllabus. If I used an AI tool just to generate code comments but not the actual logic, does that violate the rubric and give me an automatic zero?""",Assignment & Grading Policy,Assignment & Grading Policy,Assignment & Grading Policy,1.0,"The question focuses on the syllabus and academic integrity policy, indicating a concern about assignment requirements and grading."
"""Will the final exam be multiple choice or free-response coding questions?""",Exam & Assessment Prep,Exam & Assessment Prep,Exam & Assessment Prep,1.0,"The request is specifically asking about the format of the final exam, which is a common inquiry in this category."
"""Are we allowed to bring a cheat sheet to the midterm, and if so, what size?""",Exam & Assessment Prep,Exam & Assessment Prep,Exam & Assessment Prep,1.0,The user is asking about permitted materials for a midterm exam.
"""Do you have any practice questions for the section on dynamic programming?""",Exam & Assessment Prep,Exam & Assessment Prep,Exam & Assessment Prep,1.0,"The user is asking for practice questions, which is typical for exam preparation."
"""Will the exam cover the material from the guest lecture in week 8?""",Exam & Assessment Prep,Exam & Assessment Prep,Exam & Assessment Prep,1.0,"The user is asking about the scope of the exam, which is a typical question in this category."
"""Is the upcoming quiz open-book or closed-book?""",Exam & Assessment Prep,Exam & Assessment Prep,Exam & Assessment Prep,1.0,The request directly inquires about the format of an upcoming quiz.
"""Where can I find the study guide for the second midterm?""",Exam & Assessment Prep,Exam & Assessment Prep,Exam & Assessment Prep,1.0,"The request is seeking information about a specific assessment, which indicates a need for a study guide."
"""How many questions are typically on the final exam?""",Exam & Assessment Prep,Exam & Assessment Prep,Exam & Assessment Prep,1.0,"The user is asking about the format of the final exam, which is a common question."
"""Will we be tested on the syntax of standard library functions we haven't used in class?""",Exam & Assessment Prep,Exam & Assessment Prep,Concept Explanation,1.0,"The request is seeking clarification on theoretical concepts, specifically syntax of standard library functions, which does not involve code troubleshooting."
"""Are calculators permitted during the algorithms assessment?""",Exam & Assessment Prep,Exam & Assessment Prep,Exam & Assessment Prep,1.0,The request is about a specific assessment and allowed materials.
"""I can't find the study guide and the exam starts in 2 hours!""",Exam & Assessment Prep,Exam & Assessment Prep,Exam & Assessment Prep,1.0,The user is asking about a study guide in relation to an upcoming exam.
"""Can you provide a practice exam from previous years?""",Exam & Assessment Prep,Exam & Assessment Prep,Exam & Assessment Prep,1.0,"The request is explicitly asking for practice questions from previous years, indicating a need for exam preparation"
