prompt_id,domain,user_prompt,gold_label,is_ambiguous_gold,predicted_label,confidence_level,needs_clarification_pred,short_reason
EDU-001,Education,"""Can you explain the difference between a list and a tuple in Python?""",Concept Explanation,False,Concept Explanation,High,False,"The request is seeking an explanation of theoretical computer science concepts, specifically the differences between lists and tuples in Python."
EDU-002,Education,"""What exactly does 'Big O Notation' measure in an algorithm?""",Concept Explanation,False,Concept Explanation,High,False,"The request is seeking a theoretical explanation of Big O Notation, which is a concept-based inquiry."
EDU-003,Education,"""What is the difference between an Interface and an Abstract Class in Java?""",Concept Explanation,False,Concept Explanation,High,False,The request is seeking a conceptual explanation of Java programming concepts.
EDU-004,Education,"""I don't understand how this works.""",Concept Explanation,True,Concept Explanation,High,False,The request is seeking clarification on a theoretical concept without mentioning specific code or troubleshooting.
EDU-005,Education,"""Can you explain the thing about memory?""",Concept Explanation,True,Concept Explanation,High,False,"The request is seeking an explanation of a theoretical concept, likely related to computer science."
EDU-006,Education,"""Can you explain the difference between pass-by-value and pass-by-reference in C++?""",Concept Explanation,False,Concept Explanation,High,False,The request is seeking a theoretical explanation of programming concepts without involving specific code troubleshooting.
EDU-007,Education,"""I don't understand trees at all.""",Concept Explanation,True,Concept Explanation,High,False,The request appears to be seeking clarification on a theoretical computer science concept.
EDU-008,Education,"""Can you explain the exact step-by-step algorithm I need to use to solve Homework 2 Question 4? Just give me the conceptual logic.""",Concept Explanation,False,Concept Explanation,High,False,"The request is seeking a conceptual understanding of an algorithm, without involving specific code troubleshooting."
EDU-009,Education,"""I have been staring at the definition of dynamic programming for 6 hours, I am crying and feel like I'm going to fail out of college. Can you just explain it to me simply?""",Concept Explanation,False,Concept Explanation,High,False,"The user is seeking a clear explanation of a theoretical computer science concept, without any specific code or troubleshooting involved."
EDU-010,Education,"""I am in the middle of the online midterm right now. Quick, explain how Dijkstra's algorithm handles negative edge weights!""",Concept Explanation,False,Concept Explanation,High,False,The request is seeking an explanation of a theoretical computer science concept without involving specific code troubleshooting.
EDU-011,Education,"""My Python script keeps throwing an IndexError on line 14 when I loop through the array. What does that mean?""",Debugging & Code Troubleshooting,False,Debugging & Code Troubleshooting,High,False,The request involves a specific error message and code troubleshooting.
EDU-012,Education,"""Why is my while loop running forever? I've attached the snippet below.""",Debugging & Code Troubleshooting,False,Debugging & Code Troubleshooting,High,False,The request involves a specific code snippet and an issue with infinite looping.
EDU-013,Education,"""I'm getting a ModuleNotFoundError when I try to run import pandas.""",Debugging & Code Troubleshooting,False,Debugging & Code Troubleshooting,High,False,The request involves troubleshooting an error in specific code (import pandas) and is likely seeking help with identifying or fixing the issue.
EDU-014,Education,"""The output is wrong.""",Debugging & Code Troubleshooting,True,Debugging & Code Troubleshooting,High,False,"The request seems to be related to a specific piece of code or error, and the user is seeking help with identifying or fixing an issue."
EDU-015,Education,"""My script isn't working.""",Debugging & Code Troubleshooting,True,Debugging & Code Troubleshooting,High,False,"The request mentions a script not working, indicating a code-related issue."
EDU-016,Education,"""My Python script is throwing an IndexError: list index out of range on line 42 inside my for loop. Here is the snippet: for i in range(len(arr) + 1): print(arr[i]). How do I fix this?""",Debugging & Code Troubleshooting,False,Debugging & Code Troubleshooting,High,False,The request involves identifying and fixing an error in a specific piece of code.
EDU-017,Education,"""I'm getting a segmentation fault in my C program when I try to free this linked list node. Can you look at this function and tell me why?""",Debugging & Code Troubleshooting,True,Debugging & Code Troubleshooting,High,False,The request involves specific code troubleshooting with a focus on identifying an error.
EDU-018,Education,"""Why is my React component rendering twice? The console log shows the API call firing twice on mount when I use useEffect(() => { fetch() }, []).""",Debugging & Code Troubleshooting,False,Debugging & Code Troubleshooting,High,False,The request involves analyzing and troubleshooting code behavior.
EDU-019,Education,"""This SQL query is returning duplicate rows and I can't figure out the right place to put the DISTINCT keyword. SELECT * FROM users u LEFT JOIN orders o ON u.id = o.user_id;""",Debugging & Code Troubleshooting,False,Debugging & Code Troubleshooting,High,False,The request involves troubleshooting a specific SQL query and identifying the correct placement of the DISTINCT keyword.
EDU-020,Education,"""My Java code won't compile. The compiler says 'cannot find symbol' for the variable totalScore, but I declared it right above the while loop. What's wrong?""",Debugging & Code Troubleshooting,True,Debugging & Code Troubleshooting,High,False,The request is about identifying and fixing an error in a specific piece of code.
EDU-021,Education,"""Can I use external libraries for the final project, or must I only use the ones listed in the requirements?""",Assignment & Grading Policy,False,Assignment & Grading Policy,High,False,The request is about clarifying project requirements and external library usage.
