prompt_id,domain,user_prompt,gold_label,is_ambiguous_gold,initial_predicted_label,final_predicted_label,confidence_level,needs_clarification_pred,short_reason,was_corrected_by_qa,qa_reason
EDU-001,Education,"""Can you explain the difference between a list and a tuple in Python?""",Concept Explanation,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f74590>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-002,Education,"""What exactly does 'Big O Notation' measure in an algorithm?""",Concept Explanation,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f74aa0>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-003,Education,"""What is the difference between an Interface and an Abstract Class in Java?""",Concept Explanation,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f744a0>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-004,Education,"""I don't understand how this works.""",Concept Explanation,True,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f752e0>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-005,Education,"""Can you explain the thing about memory?""",Concept Explanation,True,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f75ac0>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-006,Education,"""Can you explain the difference between pass-by-value and pass-by-reference in C++?""",Concept Explanation,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f760f0>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-007,Education,"""I don't understand trees at all.""",Concept Explanation,True,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f281d100>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-008,Education,"""Can you explain the exact step-by-step algorithm I need to use to solve Homework 2 Question 4? Just give me the conceptual logic.""",Concept Explanation,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f76390>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-009,Education,"""I have been staring at the definition of dynamic programming for 6 hours, I am crying and feel like I'm going to fail out of college. Can you just explain it to me simply?""",Concept Explanation,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f75b80>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-010,Education,"""I am in the middle of the online midterm right now. Quick, explain how Dijkstra's algorithm handles negative edge weights!""",Concept Explanation,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f743b0>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-011,Education,"""My Python script keeps throwing an IndexError on line 14 when I loop through the array. What does that mean?""",Debugging & Code Troubleshooting,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f77440>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-012,Education,"""Why is my while loop running forever? I've attached the snippet below.""",Debugging & Code Troubleshooting,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f77e00>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-013,Education,"""I'm getting a ModuleNotFoundError when I try to run import pandas.""",Debugging & Code Troubleshooting,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f77c20>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-014,Education,"""The output is wrong.""",Debugging & Code Troubleshooting,True,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f77200>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-015,Education,"""My script isn't working.""",Debugging & Code Troubleshooting,True,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f754c0>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-016,Education,"""My Python script is throwing an IndexError: list index out of range on line 42 inside my for loop. Here is the snippet: for i in range(len(arr) + 1): print(arr[i]). How do I fix this?""",Debugging & Code Troubleshooting,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f75910>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-017,Education,"""I'm getting a segmentation fault in my C program when I try to free this linked list node. Can you look at this function and tell me why?""",Debugging & Code Troubleshooting,True,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f766c0>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-018,Education,"""Why is my React component rendering twice? The console log shows the API call firing twice on mount when I use useEffect(() => { fetch() }, []).""",Debugging & Code Troubleshooting,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f8a9e630>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-019,Education,"""This SQL query is returning duplicate rows and I can't figure out the right place to put the DISTINCT keyword. SELECT * FROM users u LEFT JOIN orders o ON u.id = o.user_id;""",Debugging & Code Troubleshooting,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f4fb30>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-020,Education,"""My Java code won't compile. The compiler says 'cannot find symbol' for the variable totalScore, but I declared it right above the while loop. What's wrong?""",Debugging & Code Troubleshooting,True,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f76030>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-021,Education,"""Can I use external libraries for the final project, or must I only use the ones listed in the requirements?""",Assignment & Grading Policy,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f75cd0>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-022,Education,"""If my code is submitted 10 minutes past the deadline, what is the exact percentage deduction?""",Assignment & Grading Policy,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f76de0>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-023,Education,"""Do we need to follow PEP 8 style guidelines for the grading of our Python homework?""",Assignment & Grading Policy,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f77680>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-024,Education,"""Does this count toward my final grade?",Assignment & Grading Policy,True,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1fa4320>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-025,Education,"""Can I resubmit it for a better score?""",Assignment & Grading Policy,True,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f77770>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-026,Education,"""I have a quick question about the syllabus. If I submit my assignment 12 hours late, is the penalty 10% or 20%?""",Assignment & Grading Policy,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f77020>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-027,Education,"""Do I need to submit the files as a zip or just the raw code?""",Assignment & Grading Policy,True,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f76900>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-028,Education,"""I see that 'efficiency' is 30% of the grade for Homework 4. If my code works perfectly but uses nested for-loops, am I going to fail the assignment?""",Assignment & Grading Policy,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f76a50>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-029,Education,"""What is the official policy for requesting a regrade? I feel my last score was unfair based on the rubric.""",Assignment & Grading Policy,True,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f76450>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-030,Education,"""I have a question about the academic integrity policy in the syllabus. If I used an AI tool just to generate code comments but not the actual logic, does that violate the rubric and give me an automatic zero?""",Assignment & Grading Policy,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1fa4920>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-040,Education,"""Will the final exam be multiple choice or free-response coding questions?""",Exam & Assessment Prep,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f3b2dfa0>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-041,Education,"""Are we allowed to bring a cheat sheet to the midterm, and if so, what size?""",Exam & Assessment Prep,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f75b80>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-042,Education,"""Do you have any practice questions for the section on dynamic programming?""",Exam & Assessment Prep,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f76db0>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-043,Education,"""Will the exam cover the material from the guest lecture in week 8?""",Exam & Assessment Prep,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f76ea0>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-044,Education,"""Is the upcoming quiz open-book or closed-book?""",Exam & Assessment Prep,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f76d20>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-045,Education,"""Where can I find the study guide for the second midterm?""",Exam & Assessment Prep,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1fa4950>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-046,Education,"""How many questions are typically on the final exam?""",Exam & Assessment Prep,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f76e70>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-047,Education,"""Will we be tested on the syntax of standard library functions we haven't used in class?""",Exam & Assessment Prep,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f74860>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
EDU-048,Education,"""Are calculators permitted during the algorithms assessment?""",Exam & Assessment Prep,False,Error,Error,Low,True,"API Error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xdb5f1f76090>: Failed to establish a new connection: [Errno 111] Connection refused'))",False,N/A
